lane,sink,kind,first_date,last_date,rows,days,median_tickers_per_day,panel_days_ge_min,median_scored_panel,days_before_corpus_end,note
shared:blend,runs.alpaca_shadow.db,db:ticker_daily_state,2026-08-04,2026-08-04,145,1,145.0,1,112.0,0,
shared:hf_patchtst,runs.alpaca_shadow.db,db:ticker_daily_state,2026-06-22,2026-08-03,8987,28,145.0,25,115.0,0,
shared:momentum_residual,runs.alpaca_shadow.db,db:ticker_daily_state,2026-08-03,2026-08-03,145,1,145.0,1,116.0,0,
shared:momentum_residual_v0,runs.alpaca_shadow.db,db:ticker_daily_state,2026-08-03,2026-08-03,435,1,145.0,1,120.0,0,
shared:panel_ltr_xgboost,runs.alpaca_shadow.db,db:ticker_daily_state,2026-06-11,2026-07-15,2580,11,142.0,10,110.0,0,
shared:unattributed,runs.alpaca_shadow.db,db:ticker_daily_state,2026-05-19,2026-07-28,9242,20,142.0,19,110.0,0,
shared:xgb,runs.alpaca_shadow.db,db:ticker_daily_state,2026-06-22,2026-06-22,145,1,145.0,1,97.0,0,
blend:blend,runs.alpaca_shadow_blend.db,db:ticker_daily_state,2026-07-28,2026-08-07,2755,9,145.0,9,119.0,0,
blend:unattributed,runs.alpaca_shadow_blend.db,db:ticker_daily_state,2026-07-28,2026-07-28,290,1,145.0,1,122.0,0,
blend_mom:blend,runs.alpaca_shadow_blend_mom.db,db:ticker_daily_state,2026-08-04,2026-08-07,1595,4,145.0,4,119.5,0,
blend_mom_fast:blend,runs.alpaca_shadow_blend_mom_fast.db,db:ticker_daily_state,2026-08-04,2026-08-07,1015,4,145.0,4,119.5,0,
blend_rb_fast:blend,runs.alpaca_shadow_blend_rb_fast.db,db:ticker_daily_state,2026-08-04,2026-08-07,1015,4,145.0,4,119.5,0,
blend_rb_mom:blend,runs.alpaca_shadow_blend_rb_mom.db,db:ticker_daily_state,2026-08-04,2026-08-07,1305,4,145.0,4,119.5,0,
primary:served,runs.alpaca.db,db:ticker_daily_state,2026-04-27,2026-08-07,260776,75,142.0,48,103.5,10,
file:qp_live_shadow,qp-live-shadow.jsonl,file:jsonl,2026-07-06,2026-07-21,35,10,11.0,0,0.0,0,allocator shadow (incumbent-vs-candidate QP weights on held names only); no cross-sectional scores -- not rank-comparable
file:shadow_predictions_snapshot,shadow_predictions.json,file:json,2026-05-05,2026-05-05,30,1,30.0,0,0.0,1,one-shot top-30 snapshot of artifact panel-ltr-prod-alpha158-fund-fwd60d.json; the only shadow-surface record predating the corpus end
file:shadow_analyst_artifacts,shadow_analyst/,file:model-artifacts,,,3,0,0.0,0,0.0,0,"trained model artifacts (boosters + fold-IC metadata), no daily score records"
db:challenger_decisions,all runs.*.db,db:challenger_decisions,,,0,0,0.0,0,0.0,0,configured challenger sink; ZERO records in every DB
